date,weight,code,comments,,,,
04/10/12,219.2,,,,,,
04/11/12,219.6,,,,,,
04/12/12,219,,,,,,
04/13/12,218.8,,,,,,
05/08/12,222.8,,,,,,
05/09/12,221.6,,,,,,
05/15/12,218.6,,,,,,
06/02/12,223.2,AMNPND,,,,,
06/01/12,226.8,PMYPND,,,,,
06/03/12,221.3,AMYPND,,,,,
06/04/12,221.6,PMYPYD,,,,,
06/11/12,224.6,PMNPND,,,,,
06/17/12,223,AMNPND,Non-digital,,,,
06/18/12,224.5,PMYPND,,,,,
06/25/12,219.9,PMYPYD,,,,,
07/08/12,213,AMYBYPND,,,,,
07/21/12,211.1,AMYBYPND,,,,,
07/30/12,211.2,PMYBYPND,,,,,
08/02/12,209.7,AMYBYPND,,,,,
08/07/12,209.4,PMYBYPND,,,,,
08/11/12,208.2,AMYBYPND,,,,,
08/13/12,206.9,PMYBYPND,,,,,
11/10/12,202.6,AMYBYP,,,,,
12/24/12,212.4,AMYBYP,,,,,
12/26/12,212.6,PMYBNDYP,,,,,
12/30/12,212.2,AMYBYPND,,,,,
01/02/13,211.6,PMYBYPND,,,,,
01/10/13,212.3,AMYBNPND,,,,,
01/12/13,212.3,AMYPYBND,,,,,
01/14/13,210.9,PMYBYPND,,,,,
01/16/13,201.4,PMYBYPND,,,,,
01/17/13,201.7,PMYBNPND,,,,,
01/20/13,211.8,AMYBYPND,weights,with,trey,,
01/24/13,212,PMYPYBND,,,,,
01/28/13,213.6,PMYBNPND,,,,,
02/13/13,213.4,PMYBYPND,,,,,
02/14/13,212.3,PMYPYBND,,,,,
02/27/13,213.7,PMYPNDYB,,,,,
02/20/13,212.7,AMYBYPND,,,,,
03/01/13,212,AMYBYPND,,,,,
03/03/13,212,AMYPYBND,,,,,
03/05/13,210.4,AMNBYPND,,,,,
03/22/13,212.1,AMYBYPND,,,,,
04/01/13,216.1,PMYBYPND,,,,,
04/16/13,215.3,AMYPYBND,,,,,
04/12/13,218.6,PMYBYPND,date,corrected,,,
04/13/13,216.8,AMNBYPND,,,,,
04/14/13,218.6,AMYBYPND,,,,,
04/15/13,217.1,PMYBYPND,,,,,
