"date","dates(ms)","code","comments    ",,,,,
"04/10/12","1334034000000","","    ",,,,,
"04/11/12","1334120400000","","    ",,,,,
"04/12/12","1334206800000","","    ",,,,,
"04/13/12","1334293200000","","    ",,,,,
"05/08/12","1336453200000","","    ",,,,,
"05/09/12","1336539600000","","    ",,,,,
"05/15/12","1337058000000","","    ",,,,,
"06/02/12","1338613200000","AMNPND","    ",,,,,
"06/01/12","1338526800000","PMYPND","    ",,,,,
"06/03/12","1338699600000","AMYPND","    ",,,,,
"06/04/12","1338786000000","PMYPYD","    ",,,,,
"06/11/12","1339390800000","PMNPND","    ",,,,,
"06/17/12","1339909200000","AMNPND","Non-digital    ",,,,,
"06/18/12","1339995600000","PMYPND","    ",,,,,
"06/25/12","1340600400000","PMYPYD","    ",,,,,
"07/08/12","1341723600000","AMYBYPND","    ",,,,,
"07/21/12","1342846800000","AMYBYPND","    ",,,,,
"07/30/12","1343624400000","PMYBYPND","    ",,,,,
"08/02/12","1343883600000","AMYBYPND","    ",,,,,
"08/07/12","1344315600000","PMYBYPND","    ",,,,,
"08/11/12","1344661200000","AMYBYPND","    ",,,,,
"08/13/12","1344834000000","PMYBYPND","    ",,,,,
"11/10/12","1352527200000","AMYBYP","    ",,,,,
"12/24/12","1356328800000","AMYBYP","    ",,,,,
"12/26/12","1356501600000","PMYBNDYP","    ",,,,,
"12/30/12","1356847200000","AMYBYPND","    ",,,,,
"01/02/13","1357106400000","PMYBYPND","    ",,,,,
"01/10/13","1357797600000","AMYBNPND","    ",,,,,
"01/12/13","1357970400000","AMYPYBND","    ",,,,,
"01/14/13","1358143200000","PMYBYPND","    ",,,,,
"01/16/13","1358316000000","PMYBYPND","    ",,,,,
"01/17/13","1358402400000","PMYBNPND","    ",,,,,
"01/20/13","1358661600000","AMYBYPND","weights with trey  ",,,,,
"01/24/13","1359007200000","PMYPYBND","    ",,,,,
"01/28/13","1359352800000","PMYBNPND","    ",,,,,
"02/13/13","1360735200000","PMYBYPND","    ",,,,,
"02/14/13","1360821600000","PMYPYBND","    ",,,,,
"02/27/13","1361944800000","PMYPNDYB","    ",,,,,
"02/20/13","1361340000000","AMYBYPND","    ",,,,,
"03/01/13","1362117600000","AMYBYPND","    ",,,,,
"03/03/13","1362290400000","AMYPYBND","    ",,,,,
"03/05/13","1362463200000","AMNBYPND","    ",,,,,
"03/22/13","1363928400000","AMYBYPND","    ",,,,,
"04/01/13","1364792400000","PMYBYPND","    ",,,,,
"04/16/13","1366088400000","AMYPYBND","    ",,,,,
"04/12/13","1365742800000","PMYBYPND","date corrected   ",,,,,
"04/13/13","1365829200000","AMNBYPND","    ",,,,,
"04/14/13","1365915600000","AMYBYPND","    ",,,,,
"04/15/13","1366002000000","PMYBYPND","    ",,,,,
"04/20/13","1366434000000","AMYBYPND","home scale   ",,,,,
"04/22/13","1366606800000","","scale broken   ",,,,,
"04/23/13","1366693200000","AMYBNPND","    ",,,,,
"04/24/13","1366779600000","PMYBYPND","    ",,,,,
"04/29/13","1367211600000","PMYBYPND","    ",,,,,
"04/30/13","1367298000000","PMYBNPND","    ",,,,,
"05/05/13","1367730000000","AMYPYBND","    ",,,,,
"05/06/13","1367816400000","PMYBYPND","    ",,,,,
"05/07/13","1367902800000","PMYPNDYB","    ",,,,,
"05/10/13","1368162000000","PMYPYBND","    ",,,,,
